"","M1001","M1002","M1003","M1004","M1005","M4001","M4002","M4003","M4004","M4005"
"HBA2",1.5114108540652,8.02655665957439,-3.06624444870634,3.12197010245455,-3.33024189009766,1.47838830555418,-0.352041258039609,-3.17796003556456,-1.74520641105421,-2.46663187818593
"HLA-DRB1",-0.868619727618167,-1.48816341043737,-3.94902671190313,-3.04182653362559,-2.75958236401897,3.19024218021302,3.64211750042813,0.987395410715709,2.71884775149534,1.56861590475102
"HIST1H2BM",-0.415554973707808,-2.15366010448593,-1.17369259225028,0.145218077866742,-4.02488391397671,1.22576935841715,-0.0846439218771149,3.60440491737113,2.74272681304654,0.134316339596303
"C1orf186",-0.584793326972437,-1.95966660783955,-2.59650687466118,-3.38657708835532,-2.769689458898,3.03647361273164,3.19753504109313,2.5622962320216,1.62731310211317,0.873615368766958
"HBG2",-0.251704745518843,6.06461340372523,-1.17742669298434,2.78777375608387,-1.92930605767266,-0.730662068326454,-1.15888033984881,-2.00958847837682,-0.981261758668464,-0.613557018412709
"HIST1H2BH",-0.797286316824584,-2.259266416322,-0.463083813758791,-0.784933149713604,-4.0891791571857,1.58599477983112,0.524072266571658,3.80182233259377,2.270994568451,0.210864906357134
"SNORA74A",-1.10355976068145,-1.54035998991794,5.95903572023916,-0.763261642255134,0.978587273246329,-1.1041677202834,-1.57888443670698,-1.10072912147602,-1.14516120645845,1.39850088429389
"HLA-DRA",-1.73782019682418,-3.47634333648342,-2.57245642740671,-3.11961039154754,-2.93111696349797,2.40166704012087,2.5371153651541,2.89672821691563,3.60403851224669,2.39779818132252
"HSPA1B",-1.59426440418775,2.59218687304648,-0.00361348610766044,0.527045847156943,-2.7171936868526,-0.89028467885851,4.53143220796337,-0.204357856707768,-0.14187375624336,-2.09907705920915
"HBA1",1.88112287683656,7.73710886351495,-2.95855462108509,1.50742633367806,-2.79650460155322,1.47928810334276,-0.415315471648961,-2.93994052335384,-1.44969453226245,-2.04493642746877
"MT-RNR2",-1.45320397715575,4.97196381735929,-2.84669862501328,-0.124676718110969,2.15364830800637,-1.33249146901385,-0.903751028789996,-2.10925879684062,-1.06003384947769,2.70450233903649
"MT-RNR1",-1.94812646118212,5.5206086738897,-4.72543924519315,0.372295783225525,3.41340758088489,-2.00466117150209,-1.05621935158625,-2.73596476883675,-1.05561062485768,4.21970958515793
"SNORA74B",-1.06375468889404,0.566589989729931,4.83918303284119,-0.619897718346632,1.79193912051149,-1.85090415089366,-1.42116844748925,-2.01526802652264,-1.4550235073567,1.22830439642032
"SNORA53",-1.08928432396895,0.54106035465503,4.9333439046052,-2.17308695440376,2.82895767942681,-2.0294864975799,-1.79311128367517,-1.76315818763786,-1.72299360709146,2.26775891567006
